,caption,path_to_pic,artist_handle,date_posted
0,"Confetti by Little Mix as requested by @joycelohy, @natasha_nts_ 
 - 
Confetti is the sixth studio album by British girl group Little Mix, released on 6 November 2020, by RCA Records. The album was supported by four singles: ""Break Up Song"", ""Holiday"", UK chart topper ""Sweet Melody"", and a remix of the title track featuring American rapper Saweetie. 
 - 
@littlemix @friends #LittleMix #photoshop #record #album #chandlerholdingurfavalbum #chandlerLittleMix",generated/afEfILIBMN.jpg,littlemix,2021-07-04 00:17:07.597696
1,"Constant Image by Flasher as requested by @munchdevil 
 - 
Constant Image is the debut studio album by American indie rock band Flasher. It was released on June 8, 2018 under Domino Recording Company. 
 - 
@ffflasher @friends #Flasher #photoshop #record #album #chandlerholdingurfavalbum #chandlerFlasher",generated/FQB4uBAwEe.jpg,ffflasher,2021-07-04 00:17:07.597696
2,"HELLBOY by Lil Peep as requested by @f.ajyx, @keelalavertyy, @soofjaa, @_zegyed_ 
 - 
Hellboy (stylized as 'HELLBOY') is the fifth and final mixtape by American rapper Lil Peep. It was released on September 25, 2016 (which comes months after signing with management company, First Access Entertainment, capitally related with Warner Music Group). 
 - 
@lilpeep @friends #LilPeep #photoshop #record #album #chandlerholdingurfavalbum #chandlerLilPeep",generated/DT1jFBHyK9.jpg,lilpeep,2021-07-04 00:17:07.597696
3,"mama's boy by Lany as requested by @emma.gaglione 
 - 
Mama’s Boy (stylized in all lowercase) is the third studio album by American indie pop band LANY, released on October 2, 2020 through Polydor Records.


== Background and composition ==

After the release of their first two albums, LANY and Malibu Nights, the band took part in two collaborations: one with Julia Michaels on the song ""Okay"" and another with Lauv on the song ""Mean It"". 
 - 
@thisislany @friends #Lany #photoshop #record #album #chandlerholdingurfavalbum #chandlerLany",generated/KqmTWlWDNo.jpg,thisislany,2021-07-04 00:17:07.597696
4,"Leave the Door Open by Bruno Mars as requested by @nignogsconfusedsexualityparty 
 - 
""Leave the Door Open"" is the debut single by the American super-duo Silk Sonic, consisting of Bruno Mars and Anderson .Paak. It was released on March 5, 2021 by Aftermath Entertainment and Atlantic Records as the lead single from Silk Sonic's upcoming debut studio album An Evening with Silk Sonic. 
 - 
@brunomars @friends #BrunoMars #photoshop #record #album #chandlerholdingurfavalbum #chandlerBrunoMars",generated/9RgnpBowH7.jpg,brunomars,2021-07-04 00:17:07.597696
5,"DEMIDEVIL by Ashnikko as requested by @randomcandysmuggler 
 - 
Demidevil is the debut mixtape by American singer-songwriter and rapper Ashnikko, released on January 15, 2021, through Parlophone and Warner Records. The mixtape was supported by the singles; ""Cry"" featuring Grimes, ""Daisy"" , ""Deal with It"" featuring Kelis and ""Slumber Party"" featuring Princess Nokia. 
 - 
@ashnikko @friends #Ashnikko #photoshop #record #album #chandlerholdingurfavalbum #chandlerAshnikko",generated/SNtqM6Nzap.jpg,ashnikko,2021-07-04 00:17:07.597696
6,"Up the Bracket by The Libertines as requested by @jesswastken 
 - 
Up the Bracket is the debut album by English indie rock band The Libertines, released in October 2002. It reached #35 in the UK Albums Chart. 
 - 
@thelibertines @friends #TheLibertines #photoshop #record #album #chandlerholdingurfavalbum #chandlerTheLibertines",generated/lxcp6EGYIz.jpg,thelibertines,2021-07-04 00:17:07.597696
7,"CRYBABY by Melanie Martinez as requested by @eilapatriciacalma 
 - 
 
 - 
@littlebodybigheart @friends #MelanieMartinez #photoshop #record #album #chandlerholdingurfavalbum #chandlerMelanieMartinez",generated/3Jap1RHUh9.jpg,littlebodybigheart,2021-07-04 00:17:07.597696
8,"Chaos Theory by Amon Tobin as requested by @hsskittylove 
 - 
Amon Adonai Santos de Araújo Tobin (born February 7, 1972), known as Amon Tobin () is a Brazilian electronic musician, composer and producer. He is noted for his unusual methodology in sound design and music production. 
 - 
@amontobin @friends #AmonTobin #photoshop #record #album #chandlerholdingurfavalbum #chandlerAmonTobin",generated/GbKm4Mwn96.jpg,amontobin,2021-07-04 00:17:07.597696
9,"10,000 Days by Tool as requested by @acoustic.idiot, @sopiuzzi 
 - 
10,000 Days is the fourth studio album by American rock band Tool. The album was released by Tool Dissectional and Volcano Entertainment on April 28, 2006 in parts of Europe, April 29, 2006 in Australia, May 1, 2006 in the United Kingdom, and on May 2, 2006 in North America. 
 - 
@toolmusic @friends #Tool #photoshop #record #album #chandlerholdingurfavalbum #chandlerTool",generated/V3CU0wZ8mu.jpg,toolmusic,2021-07-04 00:17:07.597696
